# can_id	bit_offset	width_bits	signed	factor	offset	unit	name	comment
405	25	1	0	1	0		KL1_xAutoFST	Automatikbetrieb Fahrerstand
405	26	1	0	1	0		KL1_xAusFST	AUS Fahrerstand
405	27	1	0	1	0		KL1_xWaschenFST	Waschen Fahrerstand
405	28	1	0	1	0		KL1_xWarnungFST	Warnung Fahrerstand
405	29	1	0	1	0		KL1_xStoerungFST	Störung Fahrerstand
405	30	1	0	1	0		KL1_xAusfallLueftFST	Ausfall Lüftung Fahrerstand
405	31	1	0	1	0		KL1_xServiceFST	Anlage im Service-Mode Fahrerstand
405	32	16	0	1	0		KL1_wSWVersion	Software Version
405	48	1	0	1	0		KL1_xEinstiegHz	Einstiegheizer EIN
405	48	8	0	1	0		KL1_bHeizung	Heizungssignale
405	49	1	0	1	0		KL1_xUebergangHz	Uebergangsheizer EIN
405	50	1	0	1	0		KL1_xKonvHzFGR1	Konvektionsheizer FGR1 EIN
405	51	1	0	1	0		KL1_xKonvHzFGR2	Konvektionsheizer FGR2 EIN
405	52	1	0	1	0		KL1_xKonvHzFGR3	Konvektionsheizer FGR3 EIN
405	53	1	0	1	0		KL1_xKonvHzFst	Konvektionsheizer FST EIN
405	54	1	0	1	0		KL1_xFlirt2010	Klimaanlage mit Erweiterung Flirt Vaudois (Wird nur im UrFlirt verwendet)
405	55	1	0	1	0		KL1_xVetoFst	Klimasteuerung Führerraum übersteuert den Schlummermode
405	56	8	0	1	0		KL1_bSoll_Pos_KlappeHeizKuehl	Sollwert Stellung Luftverteiler (Heizen/Kühlen) Fahrerstand
406	8	1	0	1	0		KL2_xParkFR	Parken Fahrgastraum
406	8	8	0	1	0		KL2_bStatusFGR	Rückmeldung Gerätezustand FGR A
406	9	1	0	1	0		KL2_xAutoFR	Automatikbetrieb Fahrgastraum
406	10	1	0	1	0		KL2_xAusFR	AUS Fahrgastraum
406	11	1	0	1	0		KL2_xWaschenFR	Waschen Fahrgastraum
406	12	1	0	1	0		KL2_xWarnungFR	Warnung Fahrgastraum
406	13	1	0	1	0		KL2_xStoerungFR	Störung Fahrgastraum (eingeschränkter Betrieb möglich)
406	14	1	0	1	0		KL2_xFatalErrorFR	Komplettabschaltung der Analage
406	15	1	0	1	0		KL2_xServiceFR	Anlage im Service-Mode Fahrgastraum
406	16	1	0	1	0		KL2_HeizenFGR	Heizen Fahrgastraum Klimaanlage
406	16	8	0	1	0		KL2_bBetriebZstd	Rückmeldung Betriebszustand Wagen A
406	17	1	0	1	0		KL2_KuehlenFGR	Kuehlen Fahrgastraum Klimaanlage
406	18	1	0	1	0		KL2_LueftenFGR	Lueften Fahrgastraum Klimaanlage
406	22	1	0	1	0		KL2_Kpr_gesperrtFGR	Kompressor Fahrgastraum wegen Vorheizung gesperrt
406	32	16	0	1	0		KL2_wSWVersion	Software Version
406	48	1	0	1	0		KL2_xEinstiegHz	Einstiegheizer EIN
406	48	8	0	1	0		KL2_bHeizung	Heizungssignale
406	49	1	0	1	0		KL2_xUebergangHz	Uebergangsheizer EIN
406	50	1	0	1	0		KL2_xKonvHzFGR1	Konvektionsheizer FGR1 EIN
406	51	1	0	1	0		KL2_xKonvHzFGR2	Konvektionsheizer FGR2 EIN
406	52	1	0	1	0		KL2_xKonvHzFGR3	Konvektionsheizer FGR3 EIN
406	54	1	0	1	0		KL2_xFlirt2010	Klimaanlage mit Erweiterung Flirt Vaudois (Wird nur im UrFlirt verwendet)
408	0	1	0	1	0		Tu12L_xTuerezu	Türe geschlossen und verriegelt
408	0	16	0	1	0		Tu12L_wStatus	Statuswort von der Türsteuerung
408	1	1	0	1	0		Tu12L_xTuereOffe	Türe komplett offen
408	2	1	0	1	0		Tu12L_xTuereSich	Türe ist sicher
408	3	1	0	1	0		Tu12L_xTuerAbges	Türe ist abgesperrt
408	4	1	0	1	0		Tu12L_xHaltewuns	Haltewunsch liegt an
408	5	1	0	1	0		Tu12L_xKinderw	Kinderwagenwunsch liegt an
408	6	1	0	1	0		Tu12L_xNotentrie	Türe 1L (A) od. Türe 2L (B) notentriegelt
408	7	1	0	1	0		Tu12L_xBlockiert	Türe 1L  wurde mit Dienstschalter in Offenposition blockiert
408	32	1	0	1	0		Tu12L_xSpeicherF	Türe 1L (A) od. Türe 2L (B) Speicherfehler Türsteuerung
408	32	16	0	1	0		Tu12L_wError	Fehlerwort der Türsteuerung
408	33	1	0	1	0		Tu12L_xMoSensDef	Türe 1L (A) od. Türe 2L (B)  Keine Türbewegung erkannt
408	34	1	0	1	0		Tu12L_x12V	Türe 1L (A) od. Türe 2L (B)  Fehler 12V Spannungsversorgung
408	35	1	0	1	0		Tu12L_xTuerOpen	Türe 1L (A) od. Türe 2L (B)  Fehler Türblattkontrollschalter offen
408	36	1	0	1	0		Tu12L_xTuerClose	Türe 1L (A) od. Türe 2L (B)  Fehler Türblattkontrollschalter geschlossen
408	37	1	0	1	0		Tu12L_xReveClose	Türe 1L (A) od. Türe 2L (B)  Reversierversuche schliessen Tür überschritten
408	38	1	0	1	0		Tu12L_xReveOpen	Türe 1L (A) od. Türe 2L (B)  Reversierversuche öffnen Tür überschritten
408	39	1	0	1	0		Tu12L_xSchaltLDe	Türe 1L (A) od. Türe 2L (B)  Schaltleiste defekt
408	40	1	0	1	0		Tu12L_xKSDigAusg	Türe 1L (A) od. Türe 2L (B)  Fehler Kurzschluss Digitalausgang
